0,Nada
1,Me sinto alegre.
2,Sou popular.
3,Admiro...
4,Fiquei irritado(a).
5,Me apaixonei.
6,Tenho pena...
7,constrangido(a)
8,traidor(a)
9,abalado(a)
10,desesperado(a)
11,Me intimidaram.
12,Apaixonado(a)
13,Enojado(a)
14,animado(a)
15,Estou triste.
16,ansioso(a)
17,Caçando confusão
18,Me sinto culpado(a).
19,Sente-se deslocado(a)
20,De coração partido
21,confuso(a)
22,solitário(a)
23,Destruidor(a) de lares
24,Quer implicar
25,Irritado(a)
26,Fiquei com medo.
27,Sinto inveja.
28,Sinto gratidão.
29,Sinto que posso confiar nas pessoas.
30,Sente-se superior a...
31,Traindo...
32,Foi traído(a)
33,Teve a família foi destruída
34,Peguei um peixe!
35,Não consegui pegar um peixe. :(
36,Eu orei. Me deseje sorte.
37,Vi um pássaro deixar sementes no chão.
38,Vi um corpo.
39,A habilidade subiu de nível
40,Comi algo gostoso.
41,Dormi bem essa noite.
42,Nunca dormi tão bem.
43,Perturbaram meu sono.
44,Dormi no chão essa noite. Que dor nas costas!
45,Comi no chão.
46,Soltei um barro no mar.
47,Tomei banho no mar.
48,Usei o chuveiro. Mas não temos água fresca.
49,Admirei a noite estrelada. Me acalma.
50,Olhei o mar
51,Joguei pedra no mar.
52,Toquei um pouco de flauta. Foi legal.
53,Ouvi música boa.
54,Me machuquei construindo.
55,Achei uma ilha nova!
56,Matei alguém.
57,Chegamos a uma nova ilha!
58,Caí no mar. Felizmente sobrevivi.
59,Que bagunça.
60,Caí e machuquei a perna.
61,Vi uma coisa terrível.
62,Percebi que eu poderia criar algo novo.
63,Nadei.
64,Estou com fome. Queria ter mais comida.
65,Estou com sede. Acho que precisamos achar mais água fresca.
66,Que cansaço! Não lembro a última vez que dormi direito.
67,Preciso fazer o número 2.
68,Preciso tomar banho.
69,Me sinto só. Preciso conversar com alguém.
70,"Que fome! Se eu não achar mais comida, acho que não vou sobreviver."
71,Estou desidratado(a). Minha garganta está tão seca que não consigo falar.
72,Estou exausto(a). Eu poderia dormir a qualquer instante.
73,Preciso soltar um barro agora! Não consigo segurar mais.
74,Estou fedendo. Tenho que tomar banho agora.
75,Estou tão triste.
76,Acho que enlouqueci.
77,Me sinto enjoado(a).
78,Dormi no quarto
79,Dormi no meu próprio quarto
80,Dormi no dormitório
81,Tomei banho no banheiro
82,Tomei banho no meu próprio banheiro
83,Comi na sala
84,Comi na minha própria sala
85,Trabalhei na sala
86,Trabalhei na minha própria sala
87,Peguei algo no meu depósito
88,Meditei no quarto
89,Quero meu próprio quarto
90,Quero minha própria sala de jantar
91,Quero minha própria sala de trabalho
92,Quero meu próprio banheiro
93,Quero meu próprio depósito
94,Dormi no estoque
95,Apreciei uma pintura
96,Vi uma pintura que não gostei
97,Indigestão
98,Dor de barriga
99,Me sinto fraco(a).
100,Malnutrido
101,Se sente sujo
102,Não consigo me concentrar.
103,Recebi ordens demais
104,O trabalho me cansa.
105,Organizei demais
106,Construí demais.
107,Me dê mais ordens.
108,Preciso de mais trabalho.
109,quero organizar mais coisas
110,quero construir mais coisas
111,Está muito escuro. Devíamos construir mais fontes de luz.
112,Está muito quente. Devíamos achar um jeito de resfriar.
113,Está muito frio. Podíamos fazer uma fogueira.
114,Está muito úmido. Devíamos dar um jeito de ficarmos frescos e secos.
115,Algo está fedendo.
116,Não consigo respirar.
117,Vi algo feio
118,Vi algo bonito
119,Quero um quarto maior
120,Quero uma sala de jantar maior
121,Quero uma sala de trabalho maior
122,Quero um depósito maior
123,Quero um quarto mais bonito
124,Quero uma sala de jantar mais bonita
125,Quero um quarto mais luxuoso
126,Quero uma sala de jantar mais luxuosa
127,Estou satisfeito com o meu quarto
128,Estou satisfeito com a minha sala de jantar
129,Estou satisfeito com a minha sala de trabalho
130,Estou satisfeito com o meu banheiro
131,Estou satisfeito com o meu depósito
132,Acho que peguei um resfriado.
133,Me arranhei.
134,Me machuquei.
135,Torci meu músculo.
136,Acho que peguei uma infecção.
137,Estou deprimido(a).
138,Estou com dor de cabeça.
139,Estou com dor nos pulmões.
140,Minha erupção cutânea está se espalhando.
141,Minha pele coça à noite.
142,Venéreo
143,Algo não me caiu bem.
144,Intestino solto
145,Enjoo marítimo
146,Reumatismo
147,Septicemia
148,Fiz amor.
149,Tive um bebê.
150,Caminhei numa ilha. Me sinto ótimo(a).
151,Fiquei no mar por muito tempo. Sinto saudade de andar em terra firme.
152,Comi algo que gosto.
153,Comi algo que odeio.
154,Comi algo cru.
155,Quero aquilo.
156,Consegui aquilo.
157,Não consigo atracar naquela ilha.
158,Vida nova aqui. Queria encontrar Noé alguma hora.
159,Ainda acredito em Noé.
160,Precisamos encontrar Noé antes que morramos.
161,"Maldito pássaro, fez cocô na minha cabeça."
162,Deve estar vindo uma tempestade.
